,year,month,day,hour,latitude,longitude,wind_dir_deg,wind_spd_m_s,dt,delta_t_hrs,x,y,dx,dy,dist,station_speed_m_s,dlon,dlat,station_dir_deg,dist2,dir_stat_wind,station
3,1963,5,1,21,76.8,-166.0,50,3,1963-05-01 21:00:00,6.0,-354314.35280054534,1421077.2506905198,,,,,,,,,,12
4,1963,5,2,3,76.8,-166.0,20,2,1963-05-02 03:00:00,6.0,-354314.35280054534,1421077.2506905198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,12
5,1963,5,2,9,76.8,-166.0,70,1,1963-05-02 09:00:00,6.0,-354314.35280054534,1421077.2506905198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,12
6,1963,5,2,15,76.8,-166.0,90,2,1963-05-02 15:00:00,6.0,-354314.35280054534,1421077.2506905198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,12
7,1963,5,2,21,76.8,-166.0,140,2,1963-05-02 21:00:00,6.0,-354314.35280054534,1421077.2506905198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140.0,12
8,1963,5,3,3,76.8,-166.0,140,2,1963-05-03 03:00:00,6.0,-354314.35280054534,1421077.2506905198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140.0,12
9,1963,5,3,9,76.8,-166.0,110,2,1963-05-03 09:00:00,6.0,-354314.35280054534,1421077.2506905198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.0,12
10,1963,5,3,15,76.8,-166.0,140,1,1963-05-03 15:00:00,6.0,-354314.35280054534,1421077.2506905198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140.0,12
11,1963,5,3,21,76.825,-166.0,160,2,1963-05-03 21:00:00,6.0,-353646.2651760057,1418397.6975840852,668.0876245396212,-2679.5531064346433,2761.583952058409,0.127851108891593,0.0,0.025000000000005684,180.0,2790.880916945218,20.0,12
12,1963,5,4,3,76.85,-166.0,180,3,1963-05-04 03:00:00,6.0,-352978.16071915237,1415718.0769669272,668.1044568533543,-2679.6206171580125,2761.6535295300173,0.12785433007083413,0.0,0.024999999999991473,180.0,2790.886379115287,0.0,12
13,1963,5,4,9,76.875,-166.0,180,5,1963-05-04 09:00:00,6.0,-352310.03946178325,1413038.3889665813,668.1212573691155,-2679.6880003458355,2761.722975561805,0.1278575451648984,0.0,0.025000000000005684,180.0,2790.8918316790673,0.0,12
14,1963,5,4,15,76.9,-166.0,200,7,1963-05-04 15:00:00,6.0,-351641.90143569943,1410358.633710594,668.1380260838196,-2679.755255987402,2761.792290142633,0.12786075417327006,0.0,0.025000000000005684,180.0,2790.8972746310537,-20.0,12
15,1963,5,4,21,76.925,-166.0,180,5,1963-05-04 21:00:00,6.0,-350973.7466727024,1407678.8113265142,668.1547629970592,-2679.8223840796854,2761.861473269466,0.1278639570958086,0.0,0.024999999999991473,180.0,2790.9027079643397,0.0,12
16,1963,5,5,3,76.95,-166.0,180,7,1963-05-05 03:00:00,6.0,-350305.5752045927,1404998.9219418874,668.1714681096491,-2679.8893846268766,2761.930524946568,0.12786715393271147,0.0,0.025000000000005684,180.0,2790.9081316798024,0.0,12
17,1963,5,5,9,76.975,-166.0,230,5,1963-05-05 09:00:00,6.0,-349637.38706317433,1402318.9656842717,668.1881414183881,-2679.956257615704,2761.9994451602865,0.1278703446833466,0.0,0.024999999999991473,180.0,2790.9135457685848,-50.0,12
18,1963,5,5,15,77.0,-166.0,230,2,1963-05-05 15:00:00,6.0,-348969.1822802493,1399638.9426812187,668.2047829250223,-2680.02300305292,2762.068233917596,0.12787352934803686,0.0,0.025000000000005684,180.0,2790.9189502312174,-50.0,12
19,1963,5,5,21,77.0,-166.0,200,1,1963-05-05 21:00:00,6.0,-348969.1822802493,1399638.9426812187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,12
20,1963,5,6,3,77.0,-166.0,180,3,1963-05-06 03:00:00,6.0,-348969.1822802493,1399638.9426812187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180.0,12
