,year,month,day,hour,latitude,longitude,wind_dir_deg,wind_spd_m_s,dt,delta_t_hrs,x,y,dx,dy,dist,station_speed_m_s,dlon,dlat,station_dir_deg,dist2,dir_stat_wind,station
49,1972,5,7,6,74.696,175.969,360,3,1972-05-07 06:00:00,3.0,119273.92285488422,1692536.191111075,,,,,,,,,,21
50,1972,5,7,9,74.691,175.976,340,3,1972-05-07 09:00:00,3.0,119105.80865032246,1693100.4339173692,-168.11420456175983,564.2428062942345,588.7548982643169,0.0545143424318812,0.007000000000005002,-0.0049999999999954525,339.7115508563787,595.0035535053704,-0.2884491436212784,21
51,1972,5,7,12,74.687,175.984,320,2,1972-05-07 12:00:00,3.0,118900.2797013328,1693556.796419209,-205.5289489896677,456.3625018398743,500.50862326072536,0.046343391042659755,0.008000000000009777,-0.0040000000000048885,332.15346939236275,504.9492053500021,12.153469392362751,21
52,1972,5,7,15,74.682,175.991,270,2,1972-05-07 15:00:00,3.0,118731.896494301,1694120.9978704196,-168.3832070317876,564.2014512105379,588.7921381594584,0.054517790570320225,0.007000000000005002,-0.0049999999999954525,339.7008452277538,595.0441921284552,69.7008452277538,21
53,1972,5,7,18,74.678,175.999,270,2,1972-05-07 18:00:00,3.0,118526.10959954126,1694577.3115781301,-205.78689475974534,456.3137077104766,500.570120861544,0.046349085264957776,0.007999999999981355,-0.0040000000000048885,332.1398798920994,505.01209770218196,62.13987989209937,21
54,1972,5,7,21,74.674,176.006,290,1,1972-05-07 21:00:00,3.0,118349.78134717165,1695031.5334384886,-176.3282523696107,454.22186035849154,487.24649922934293,0.04511541659530953,0.007000000000005002,-0.003999999999990678,335.17327480860604,491.93677045251906,45.17327480860604,21
55,1972,5,8,0,74.669,176.013,290,2,1972-05-08 00:00:00,3.0,118181.00631872202,1695595.6739861693,-168.77502844962873,564.1405476806685,588.8459626809184,0.05452277432230726,0.007000000000005002,-0.005000000000009663,339.6853849369133,595.1029254572816,49.685384936913294,21
56,1972,5,8,3,74.665,176.021,290,2,1972-05-08 03:00:00,3.0,117974.84420382213,1696051.915825889,-206.16211489989655,456.2418397197034,500.65899965027864,0.046357314782433205,0.007999999999981355,-0.003999999999990678,332.12025762173766,505.10298715380384,42.120257621737665,21
57,1972,5,8,6,74.661,176.028,320,2,1972-05-08 06:00:00,3.0,117798.1664768435,1696506.0753681532,-176.6777269786253,454.159542264184,487.3149998101298,0.04512175924167868,0.007000000000005002,-0.0040000000000048885,335.15518021261073,492.00811429373425,15.15518021261073,21
58,1972,5,8,9,74.656,176.035,320,2,1972-05-08 09:00:00,3.0,117628.99965112134,1697070.1547873232,-169.16682572216087,564.0794191700406,588.8998268433455,0.05452776174475422,0.007000000000005002,-0.0049999999999954525,339.6699286594464,595.1616978704961,19.669928659446384,21
59,1972,5,8,12,74.652,176.043,340,1,1972-05-08 12:00:00,3.0,117422.46234361485,1697526.3245323116,-206.53730750648538,456.16974498843774,500.7479362262463,0.04636554965057836,0.008000000000009777,-0.0040000000000048885,332.10064363400573,505.1939296813467,-7.899356365994265,21
