,year,month,day,hour,latitude,longitude,wind_dir_deg,wind_spd_m_s,dt,delta_t_hrs,x,y,dx,dy,dist,station_speed_m_s,dlon,dlat,station_dir_deg,dist2,dir_stat_wind,station
1,1981,6,1,3,75.753,169.465,130,7,1981-06-01 03:00:00,3.0,288912.62444798235,1553536.187189494,,,,,,,,,,25
2,1981,6,1,6,75.767,169.455,120,8,1981-06-01 06:00:00,3.0,288901.0566205129,1551967.0479139916,-11.567827469436452,-1569.1392755024135,1569.1819144243927,0.1452946217059623,-0.009999999999990905,0.013999999999995794,170.0258513208797,1586.7180975252359,50.025851320879696,25
3,1981,6,1,9,75.781,169.444,130,9,1981-06-01 09:00:00,3.0,288916.00505796477,1550392.8945823908,14.948437451850623,-1574.153331600828,1574.224306498994,0.14576150986101796,-0.011000000000024102,0.014000000000010004,169.06174001947403,1591.6501703930594,39.06174001947403,25
4,1981,6,1,12,75.794,169.434,120,9,1981-06-01 12:00:00,3.0,288923.5572243178,1548932.2867634783,7.5521663530380465,-1460.607818912482,1460.6273432621003,0.13524327252426854,-0.009999999999990905,0.012999999999991019,169.2959584179984,1476.8111053516081,49.295958417998406,25
5,1981,6,1,15,75.808,169.424,120,9,1981-06-01 15:00:00,3.0,288910.3515617037,1547363.2310615988,-13.205662614083849,-1569.0557018795516,1569.111272385043,0.14528808077639288,-0.009999999999990905,0.014000000000010004,170.05342399662294,1586.5895334634756,50.05342399662294,25
6,1981,6,1,18,75.822,169.413,120,9,1981-06-01 18:00:00,3.0,288923.5818431191,1545789.1616708674,13.230281415395439,-1574.069390731398,1574.124990966043,0.14575231397833732,-0.01099999999999568,0.013999999999995794,169.09188465999412,1591.4941196543996,49.09188465999412,25
7,1981,6,1,21,75.836,169.403,140,8,1981-06-01 21:00:00,3.0,288909.26238539757,1544220.1638709065,-14.319457721547224,-1568.9977999608964,1569.0631418625485,0.14528362424653227,-0.010000000000019327,0.013999999999995794,170.07225955402794,1586.501922616864,30.072259554027937,25
8,1981,6,2,0,75.85,169.393,130,9,1981-06-02 00:00:00,3.0,288894.39973754174,1542651.1951543982,-14.862647855828982,-1568.9687165082432,1569.0391109474647,0.14528139916180227,-0.009999999999990905,0.013999999999995794,170.08167898494744,1586.4581747574925,40.081678984947445,25
9,1981,6,2,3,75.864,169.382,120,8,1981-06-02 03:00:00,3.0,288905.8908249068,1541077.2135622727,11.491087365080602,-1573.9815921254922,1574.0235377651538,0.14574292016344018,-0.01099999999999568,0.014000000000010004,169.12277631620378,1591.334674542117,49.12277631620378,25
10,1981,6,2,6,75.877,169.372,140,9,1981-06-02 06:00:00,3.0,288910.267493751,1539616.7661716826,4.376668844197411,-1460.447390590096,1460.453948576124,0.13522721746075222,-0.009999999999990905,0.012999999999991019,169.35581051652545,1476.5307468985698,29.35581051652545,25
11,1981,6,2,9,75.891,169.356,130,8,1981-06-02 09:00:00,3.0,289054.82960480795,1538017.622753835,144.56211105693365,-1599.1434178475756,1605.6643094988638,0.1486726212498948,-0.016000000000019554,0.014000000000010004,164.41172934427073,1622.3923723290936,34.411729344270725,25
12,1981,6,2,12,75.905,169.329,140,8,1981-06-02 12:00:00,3.0,289493.4826611534,1536362.9453782632,438.6530563454726,-1654.6773755718023,1711.8334384718657,0.15850309615480238,-0.026999999999986812,0.013999999999995794,154.80952243285407,1726.8356474634409,14.809522432854067,25
13,1981,6,2,15,75.918,169.302,140,8,1981-06-02 15:00:00,3.0,289951.1225947126,1534816.6157673697,457.63993355917046,-1546.3296108935028,1612.6281574851948,0.1493174219893699,-0.027000000000015234,0.01300000000000523,153.15811501347318,1626.1976716466643,13.158115013473179,25
14,1981,6,2,18,75.931,169.275,130,7,1981-06-02 18:00:00,3.0,290407.365751826,1533270.1765767313,456.2431571133784,-1546.4391906384844,1612.3374301787433,0.14929050279432807,-0.026999999999986812,0.012999999999991019,153.1789971938862,1625.8998212648382,23.178997193886204,25
15,1981,6,2,21,75.945,169.248,130,7,1981-06-02 21:00:00,3.0,290841.62290052976,1531615.202883135,434.25714870379306,-1654.9736935961992,1710.9988888645703,0.15842582304301578,-0.027000000000015234,0.013999999999995794,154.8709069148042,1725.9731075689033,24.87090691480421,25
16,1981,6,3,0,75.958,169.22,130,6,1981-06-03 00:00:00,3.0,291321.72579226416,1530063.4714204601,480.1028917343938,-1551.731462674914,1624.3057959962325,0.15039868481446597,-0.027999999999991587,0.01300000000000523,152.3750953297422,1637.667902635313,22.37509532974221,25
17,1981,6,3,3,75.972,169.193,120,6,1981-06-03 03:00:00,3.0,291753.0063080938,1528408.3005363585,431.2805158296251,-1655.1708841016516,1710.4366515343709,0.15837376403096026,-0.026999999999986812,0.013999999999995794,154.91238218722958,1725.3919200024611,34.91238218722958,25
18,1981,6,3,6,75.985,169.166,120,7,1981-06-03 06:00:00,3.0,292203.5325466875,1526861.441593414,450.5262385937385,-1546.8589429445565,1611.1320495319349,0.14917889347517915,-0.027000000000015234,0.01300000000000523,153.26583316218546,1624.6647131675631,33.26583316218546,25
19,1981,6,3,9,75.998,169.138,130,7,1981-06-03 09:00:00,3.0,292679.2836987182,1525309.3701262106,475.751152030658,-1552.071467203321,1623.349930842136,0.15031017878167927,-0.027999999999991587,0.01300000000000523,152.4408402950333,1636.692086388296,22.440840295033297,25
20,1981,6,3,12,76.009,169.124,130,5,1981-06-03 12:00:00,3.0,292822.90168091207,1524045.5419090812,143.61798219388584,-1263.8282171294559,1271.9622192589143,0.11777427956101058,-0.014000000000010004,0.01099999999999568,162.87717437806822,1284.8109364600193,32.87717437806822,25
21,1981,6,3,15,76.02,169.11,130,6,1981-06-03 15:00:00,3.0,292965.91682652966,1522781.7206038418,143.0151456175954,-1263.8213052393403,1271.8874256210304,0.11776735422416948,-0.013999999999981583,0.01099999999999568,162.88959755412822,1284.7263519895835,32.889597554128216,25
22,1981,6,3,18,76.031,169.096,130,7,1981-06-03 18:00:00,3.0,293108.3291462263,1521517.9064412743,142.41231969662476,-1263.8141625674907,1271.8126852282696,0.11776043381743237,-0.014000000000010004,0.01100000000000989,162.9020229600014,1284.6418229912047,32.9020229600014,25
23,1981,6,3,21,76.043,169.082,130,6,1981-06-03 21:00:00,3.0,293229.2331802506,1520145.7224580003,120.9040340243373,-1372.183983274037,1377.500152231266,0.12754631039178388,-0.014000000000010004,0.012000000000000455,164.2648406555977,1391.645695016691,34.26484065559771,25
24,1981,6,4,0,76.054,169.067,130,6,1981-06-04 00:00:00,3.0,293396.9225995117,1518876.8066006543,167.68941926106345,-1268.91585734603,1279.9481217441287,0.11851371497630821,-0.014999999999986358,0.01099999999999568,161.78657363690724,1292.6227060336269,31.786573636907235,25
25,1981,6,4,3,76.065,169.053,130,5,1981-06-04 03:00:00,3.0,293537.4777229659,1517613.0166435433,140.55512345419265,-1263.7899571110029,1271.5820061733548,0.117739074645681,-0.014000000000010004,0.01099999999999568,162.94044284660094,1284.380902490598,32.940442846600945,25
26,1981,6,4,6,76.071,169.047,140,7,1981-06-04 06:00:00,3.0,293570.5667295665,1516932.0650338954,33.089006600610446,-680.9516096478328,681.7550711507687,0.0631254695509971,-0.006000000000000227,0.006000000000000227,166.4545446776284,688.9260112667392,26.454544677628405,25
27,1981,6,4,9,76.075,169.045,150,5,1981-06-04 09:00:00,3.0,293539.61292598926,1516488.347771355,-30.953803577227518,-443.71726254047826,444.79562389069577,0.04118477998987924,-0.0020000000000095497,0.0040000000000048885,173.13424515835098,449.73858185405555,23.13424515835098,25
