,year,month,day,hour,latitude,longitude,wind_dir_deg,wind_spd_m_s,dt,delta_t_hrs,x,y,dx,dy,dist,station_speed_m_s,dlon,dlat,station_dir_deg,dist2,dir_stat_wind,station
1,1987,7,1,3,80.514,111.683,150,3,1987-07-01 03:00:00,3.0,979076.0992405416,389285.2387666455,,,,,,,,,,29
2,1987,7,1,6,80.514,111.656,115,2,1987-07-01 06:00:00,3.0,979259.4368708881,388823.8168180934,183.33763034653384,-461.42194855207345,496.51072627555044,0.0459732153958843,-0.027000000000001023,0.0,89.98668460033208,496.9679649926468,-25.01331539966793,29
3,1987,7,1,9,80.514,111.629,100,2,1987-07-01 09:00:00,3.0,979442.5570409156,388362.3085249545,183.12017002748325,-461.50829313893337,496.51072627578355,0.04597321539590588,-0.027000000000001023,0.0,89.98668460033208,496.9679649926468,-10.013315399667931,29
4,1987,7,1,12,80.515,111.602,90,2,1987-07-01 12:00:00,3.0,979522.4250165942,387859.91550828895,79.86797567864414,-502.39301666553365,508.7019134358546,0.04710202902183839,-0.027000000000001023,0.0010000000000047748,102.65075561327853,509.3329584087791,12.650755613278534,29
5,1987,7,1,15,80.515,111.574,80,3,1987-07-01 15:00:00,3.0,979711.8521559909,387381.1842533968,189.42713939666282,-478.7312548921327,514.8458561070477,0.04767091260250441,-0.028000000000005798,0.0,89.98619139711315,515.3203626793186,9.986191397113146,29
6,1987,7,1,18,80.516,111.547,80,3,1987-07-01 18:00:00,3.0,979791.2185669905,386878.7633388623,79.36641099955887,-502.4209145345376,508.65096338911223,0.0470973114249178,-0.027000000000001023,0.0010000000000047748,102.65203638405234,509.282321849368,22.652036384052337,29
7,1987,7,1,21,80.516,111.52,70,3,1987-07-01 21:00:00,3.0,979973.4220931485,386417.0046654774,182.2035261580022,-461.75867338490207,496.40628258574094,0.045963544683864904,-0.027000000000001023,0.0,89.98668452267691,496.8641635522035,19.98668452267691,29
8,1987,7,2,0,80.517,111.492,95,4,1987-07-02 00:00:00,3.0,980059.0310592733,385897.45253141155,85.60896612482611,-519.5521340658306,526.5579883482164,0.048755369291501524,-0.027999999999991587,0.000999999999990564,102.21429627496254,527.2006958203555,7.214296274962521,29
9,1987,7,2,3,80.519,111.45,75,3,1987-07-02 03:00:00,3.0,980135.3596735012,385097.8779234182,76.3286142279394,-799.5746079933597,803.2095686044162,0.07437125635226076,-0.04200000000000159,0.0020000000000095497,106.09894308963601,804.3626852268167,31.09894308963601,29
10,1987,7,2,6,80.523,111.4,35,2,1987-07-02 06:00:00,3.0,980058.3342153087,384080.6612871921,-77.0254581925692,-1017.216636226105,1020.1287204195985,0.09445636300181467,-0.04999999999999716,0.003999999999990678,115.88043684098552,1022.3667388440243,80.88043684098551,29
11,1987,7,2,9,80.527,111.35,40,4,1987-07-02 09:00:00,3.0,979980.2789148231,383063.87201074394,-78.05530048557557,-1016.7892764481367,1019.780889521773,0.0944241564372012,-0.05000000000001137,0.0040000000000048885,115.88985793828851,1022.0209693165432,75.88985793828851,29
12,1987,7,2,12,80.531,111.3,20,4,1987-07-02 12:00:00,3.0,979901.1944594736,382047.51111779804,-79.0844553494826,-1016.3608929459006,1019.433085488063,0.09439195236000583,-0.04999999999999716,0.0040000000000048885,115.89928552230585,1021.6752233141068,95.89928552230583,29
13,1987,7,2,15,80.535,111.25,35,5,1987-07-02 15:00:00,3.0,979821.0815376973,381031.5796312044,-80.11292177625,-1015.9314865936176,1019.0853083465806,0.09435975077283154,-0.04999999999999716,0.003999999999990678,115.90871959918167,1021.3295008687891,80.90871959918167,29
14,1987,7,2,18,80.539,111.2,30,5,1987-07-02 18:00:00,3.0,979739.940838926,380016.07857293467,-81.1406987713417,-1015.5010582697578,1018.7375581297175,0.09432755167867755,-0.04999999999999716,0.0040000000000048885,115.91816017528876,1020.9838020128432,85.91816017528879,29
15,1987,7,2,21,80.543,111.15,50,5,1987-07-02 21:00:00,3.0,979657.7730535984,379001.0089640852,-82.16778532764874,-1015.0696088494733,1018.3898348645637,0.0942953550800522,-0.04999999999999716,0.0040000000000048885,115.9276072565521,1020.6381267755116,65.92760725655211,29
16,1987,7,3,0,80.547,111.1,50,5,1987-07-03 00:00:00,3.0,979574.5788731528,377986.3718248744,-83.19418044551276,-1014.6371392107685,1018.0421385806253,0.09426316097968752,-0.05000000000001137,0.003999999999990678,115.93706084912843,1020.2924751870121,65.93706084912844,29
17,1987,7,3,3,80.55,111.05,60,4,1987-07-03 03:00:00,3.0,979593.7846476159,377011.97315488366,19.205774463014677,-974.3986699907691,974.5879282304414,0.09023962298430013,-0.04999999999999716,0.0030000000000001137,110.04326687772783,976.2676359036973,50.04326687772783,29
18,1987,7,3,6,80.555,111.002,50,4,1987-07-03 06:00:00,3.0,979391.9900771345,375992.5864906942,-201.79457048140466,-1019.3866641894565,1039.1680421390383,0.09621926316102207,-0.04800000000000182,0.005000000000009663,122.37108031801141,1042.1246733675525,72.37108031801142,29
19,1987,7,3,9,80.56,110.955,60,4,1987-07-03 09:00:00,3.0,979182.6288459757,374990.8919811003,-209.36123115872033,-1001.6945095938863,1023.3396384694729,0.0947536702286549,-0.046999999999997044,0.0049999999999954525,122.93340349009695,1026.313331709862,62.933403490096964,29
20,1987,7,3,12,80.564,110.908,80,3,1987-07-03 12:00:00,3.0,979075.8067773764,374029.34230830614,-106.82206859928556,-961.5496727941791,967.4651040685774,0.08958010222857198,-0.046999999999997044,0.003999999999990678,117.40205950798561,969.7423370642052,37.4020595079856,29
21,1987,7,3,15,80.569,110.861,80,4,1987-07-03 15:00:00,3.0,978864.507417168,373028.7557629879,-211.29936020844616,-1000.5865453182487,1022.6538291603891,0.0946901693667027,-0.046999999999997044,0.005000000000009663,122.95813035553569,1025.6312202653646,42.95813035553567,29
22,1987,7,3,18,80.574,110.814,80,6,1987-07-03 18:00:00,3.0,978652.2237895305,372028.7669857652,-212.28362763754558,-999.9887772226939,1022.272905409458,0.09465489864902389,-0.047000000000011255,0.0049999999999954525,122.97188199834139,1025.2523441853782,42.97188199834139,29
23,1987,7,3,21,80.579,110.766,55,5,1987-07-03 21:00:00,3.0,978445.4322687234,371012.29988192575,-206.79152080707718,-1016.4671038394445,1037.28882490146,0.09604526156495,-0.04799999999998761,0.0049999999999954525,122.43646793618225,1040.2556716586384,67.43646793618225,29
24,1987,7,4,0,80.584,110.719,85,7,1987-07-04 00:00:00,3.0,978231.16519207,370013.51320879743,-214.26707665342838,-998.7866731283139,1021.5112327117756,0.09458437339923849,-0.047000000000011255,0.005000000000009663,122.99941639393157,1024.494752490488,37.99941639393157,29
25,1987,7,4,3,80.588,110.672,110,7,1987-07-04 03:00:00,3.0,978119.6052264036,369054.45000166656,-111.5599656663835,-959.0632071308792,965.5298344492791,0.08940091059715546,-0.046999999999997044,0.003999999999990678,117.46122422859577,967.8181905500304,7.461224228595768,29
26,1987,7,4,6,80.596,110.624,90,7,1987-07-04 06:00:00,3.0,977598.6654985363,367922.60444442055,-520.939727867255,-1131.845557246008,1245.9745444943633,0.11536801337910771,-0.04800000000000182,0.008000000000009777,135.52703492966418,1251.361968913022,45.52703492966418,29
27,1987,7,4,9,80.604,110.577,90,6,1987-07-04 09:00:00,3.0,977070.1097686681,366808.9423228487,-528.5557298682397,-1113.6621215718333,1232.7264419166258,0.1141413372145024,-0.046999999999997044,0.007999999999995566,136.15452580719688,1238.1456817958021,46.154525807196876,29
