,year,month,day,hour,latitude,longitude,wind_dir_deg,wind_spd_m_s,dt,delta_t_hrs,x,y,dx,dy,dist,station_speed_m_s,dlon,dlat,station_dir_deg,dist2,dir_stat_wind,station
1,1986,6,1,3,80.976,166.942,130,3,1986-06-01 03:00:00,3.0,226484.52762342608,976501.3186145714,,,,,,,,,,28
2,1986,6,1,6,80.981,166.936,120,2,1986-06-01 06:00:00,3.0,226461.49801976877,975937.6690420056,-23.02960365731269,-563.6495725658024,564.1198483462753,0.052233319291321786,-0.006000000000000227,0.0049999999999954525,169.33879251003478,568.132622833483,49.33879251003478,28
3,1986,6,1,9,80.986,166.93,130,4,1986-06-01 09:00:00,3.0,226438.35241933036,975374.0331492011,-23.14560043840902,-563.6358928044792,564.1109274576737,0.05223249328311794,-0.006000000000000227,0.005000000000009663,169.34451853618458,568.1220954921548,39.34451853618458,28
4,1986,6,1,12,80.991,166.924,80,4,1986-06-01 12:00:00,3.0,226415.09082476865,974810.4109553483,-23.261594561714446,-563.6221938527888,564.1020113286108,0.052231667715612114,-0.006000000000000227,0.0049999999999954525,169.35024485374606,568.1115735911105,89.35024485374606,28
5,1986,6,1,15,80.996,166.918,110,4,1986-06-01 15:00:00,3.0,226391.71323874386,974246.8024796286,-23.37758602478425,-563.608475719695,564.0930999679256,0.05223084258962274,-0.006000000000000227,0.0049999999999954525,169.35597146267227,568.1010571356621,59.35597146267227,28
6,1986,6,1,18,81.001,166.912,110,5,1986-06-01 18:00:00,3.0,226368.21966391845,973683.2077412272,-23.49357482540654,-563.5947384013562,564.0841933716722,0.052230017904784466,-0.006000000000000227,0.005000000000009663,169.36169836284645,568.0905461266954,59.361698362846454,28
7,1986,6,1,21,81.006,166.906,90,6,1986-06-01 21:00:00,3.0,226344.61010296046,973119.6267593335,-23.60956095799338,-563.5809818936978,564.0752915355305,0.05222919366069727,-0.006000000000000227,0.0049999999999954525,169.36742555402122,568.0800405599632,79.36742555402122,28
8,1986,6,2,0,81.011,166.9,90,5,1986-06-02 00:00:00,3.0,226320.88455853765,972556.0595531273,-23.725544422806706,-563.5672062062658,564.0663944690326,0.05222836985824376,-0.006000000000000227,0.0049999999999954525,169.37315303616305,568.0695404409557,79.37315303616305,28
9,1986,6,2,3,81.016,166.894,90,7,1986-06-02 03:00:00,3.0,226297.04303332182,971992.5061417931,-23.84152521583019,-563.553411334171,564.0575021671092,0.052227546496954554,-0.006000000000000227,0.005000000000009663,169.37888080913712,568.0590457705584,79.37888080913712,28
10,1986,6,2,6,81.021,166.888,90,9,1986-06-02 06:00:00,3.0,226273.08552998956,971428.9665445165,-23.957503332261695,-563.5395972765982,564.0486146287267,0.052226723576733955,-0.006000000000000227,0.0049999999999954525,169.38460887269989,568.0485565438167,79.38460887269991,28
11,1986,6,2,9,81.026,166.882,90,10,1986-06-02 09:00:00,3.0,226249.01205121863,970865.4407804812,-24.073478770937072,-563.5257640352938,564.0397318555639,0.0522259010977374,-0.006000000000000227,0.0049999999999954525,169.39033722682947,568.0380727667505,79.3903372268295,28
12,1986,6,2,12,81.032,166.876,90,8,1986-06-02 12:00:00,3.0,226199.6511475959,970193.9658777254,-49.360903622728074,-671.4749027558137,673.2867471125372,0.06234136547338308,-0.006000000000000227,0.006000000000000227,171.132593296402,678.0985985831047,81.13259329640198,28
13,1986,6,2,15,81.037,166.87,130,6,1986-06-02 15:00:00,3.0,226175.3343341225,969630.4701049237,-24.31681347338599,-563.4957728016889,564.0202065377374,0.05222409319793865,-0.006000000000000227,0.005000000000009663,169.40294062790704,568.0150276388156,39.40294062790704,28
14,1986,6,2,18,81.043,166.856,160,6,1986-06-02 18:00:00,3.0,226260.99729912364,968927.447145201,85.66296500113094,-703.0229597226717,708.222723068111,0.06557617806186213,-0.014000000000010004,0.006000000000000227,160.018693906301,712.8827533915401,0.018693906300995877,28
15,1986,6,2,21,81.049,166.843,160,6,1986-06-02 21:00:00,3.0,226329.43085536532,968228.3879381429,68.4335562416818,-699.0592070581624,702.4008304327881,0.06503711392896186,-0.01300000000000523,0.006000000000000227,161.35545026405018,707.0820435700065,1.3554502640501767,28
16,1986,6,3,0,81.056,166.829,160,7,1986-06-03 00:00:00,3.0,226389.18434097254,967417.4493293251,59.753485607216135,-810.9386088177562,813.1370771976208,0.07529047011089081,-0.013999999999981583,0.006999999999990791,162.71167215129904,818.621550865262,2.711672151299041,28
17,1986,6,3,3,81.062,166.815,170,7,1986-06-03 03:00:00,3.0,226473.84112135696,966714.4741800517,84.65678038442275,-702.9751492734067,708.05425707429,0.06556057935873055,-0.014000000000010004,0.006000000000000227,160.0574051763084,712.7086286116861,-9.942594823691593,28
18,1986,6,3,6,81.068,166.802,180,9,1986-06-03 06:00:00,3.0,226541.30715135214,966015.4668466948,67.46602999517927,-699.0073333568871,702.2555925658526,0.06502366597831968,-0.01300000000000523,0.006000000000000227,161.39198814323214,706.9308641158182,-18.60801185676786,28
19,1986,6,3,9,81.074,166.796,180,8,1986-06-03 09:00:00,3.0,226490.52968024672,965344.1542928013,-50.77747110542259,-671.3125538935419,673.2301958371531,0.062336129244180846,-0.006000000000000227,0.006000000000000227,171.17312067797218,678.0255145890898,-8.826879322027821,28
20,1986,6,3,12,81.08,166.791,140,6,1986-06-03 12:00:00,3.0,226422.77672241954,964676.8122977659,-67.75295782717876,-667.3419950354146,670.7725409050215,0.062108568602316803,-0.0049999999999954525,0.006000000000000227,172.63137164820964,675.5764096399836,32.63137164820964,28
21,1986,6,3,15,81.086,166.786,130,5,1986-06-03 15:00:00,3.0,226354.9083964415,964009.4868396367,-67.86832597805187,-667.3254581291694,670.7677517131909,0.06210812515862879,-0.0049999999999954525,0.006000000000000227,172.63623235671864,675.5692219485214,42.63623235671864,28
22,1986,6,3,18,81.093,166.781,150,6,1986-06-03 18:00:00,3.0,226261.57322331093,963234.2523382257,-93.33517313055927,-775.2345014109742,780.8328801486482,0.07229934075450446,-0.0049999999999954525,0.007000000000005002,173.68317522929237,786.439254728287,23.683175229292374,28
23,1986,6,3,21,81.099,166.775,160,5,1986-06-03 21:00:00,3.0,226210.2645754242,962563.0138099986,-51.308647886733525,-671.2385282270843,673.1966570954041,0.06233302380513001,-0.006000000000000227,0.006000000000000227,171.1972504797089,677.9821659119948,11.197250479708913,28
24,1986,6,4,0,81.105,166.77,220,6,1986-06-04 00:00:00,3.0,226142.02899283162,961895.7410286091,-68.23558259257698,-667.2727813895326,670.7526067896206,0.0621067228508908,-0.0049999999999954525,0.006000000000000227,172.65162580902583,675.5464912637772,-47.34837419097417,28
25,1986,6,4,3,81.108,166.772,220,4,1986-06-04 03:00:00,3.0,226032.3463334552,961579.8663694069,-109.68265937641263,-315.874659202178,334.37566612116717,0.030960709826033998,0.001999999999981128,0.0030000000000001137,185.8863722918287,336.77613820876724,-34.11362770817129,28
26,1986,6,4,6,81.109,166.778,210,4,1986-06-04 06:00:00,3.0,225906.29127812694,961495.6057066745,-126.05505532826646,-84.26066273241304,151.62366654951256,0.014039228384214127,0.006000000000000227,0.000999999999990564,222.8498776672872,152.30643390303925,12.849877667287188,28
27,1986,6,4,9,81.111,166.784,200,4,1986-06-04 09:00:00,3.0,225754.91019177056,961303.4008724273,-151.3810863563849,-192.2048342472408,244.66085018745557,0.022653782424764405,0.006000000000000227,0.0020000000000095497,204.8795754447917,246.17520476954388,4.879575444791698,28
28,1986,6,4,12,81.112,166.789,180,3,1986-06-04 12:00:00,3.0,225645.68304607054,961215.1675163256,-109.22714570001699,-88.23335610167123,140.41258663929335,0.013001165429564199,0.0049999999999954525,0.000999999999990564,217.6951845301591,141.1182185984351,37.69518453015911,28
29,1986,6,4,15,81.114,166.795,180,4,1986-06-04 15:00:00,3.0,225494.37266788929,961022.9252253087,-151.31037818125333,-192.24229101685341,244.6465389102459,0.02265245730650425,0.006000000000000227,0.0020000000000095497,204.8722530936721,246.16065927789737,24.8722530936721,28
30,1986,6,4,18,81.116,166.801,150,2,1986-06-04 18:00:00,3.0,225343.1049592175,960830.661494441,-151.26770867177402,-192.26373086776584,244.63700025548343,0.022651574097729946,0.006000000000000227,0.001999999999995339,204.8673710124742,246.15096444171542,54.867371012474194,28
31,1986,6,4,21,81.117,166.806,140,2,1986-06-04 21:00:00,3.0,225233.95100833382,960742.384324596,-109.15395088368678,-88.27716984495055,140.38320308837717,0.012998444730405293,0.005000000000023874,0.0010000000000047748,217.6797078142145,141.08881399673396,77.67970781421451,28
32,1986,6,5,0,81.119,166.812,280,1,1986-06-05 00:00:00,3.0,225082.7540218045,960550.0831689751,-151.19698652933585,-192.30115562095307,244.62269557158055,0.02265024958996116,0.006000000000000227,0.001999999999995339,204.86004711935186,246.13642543154586,-75.13995288064814,28
33,1986,6,5,3,81.12,166.818,300,4,1986-06-05 03:00:00,3.0,224956.88197409984,960465.7045891824,-125.8720477046445,-84.37857979268301,151.53718065607026,0.014031220431117616,0.006000000000000227,0.0010000000000047748,222.81478890455583,152.2200862450421,-77.18521109544417,28
34,1986,6,5,6,81.122,166.824,270,5,1986-06-05 06:00:00,3.0,224805.7590755747,960273.3633913905,-151.12289852515096,-192.34119779185858,244.608394840917,0.022648925448233055,0.006000000000000227,0.001999999999995339,204.85272230114685,246.1218903113975,-65.14727769885315,28
